TimeStamp,Date,Time,SQF,Main,Description,Temperature,Humidity,Clouds,Rain,Wind Speed
1.60583E+12,20,04:00:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:02:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:04:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:06:41,150,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:08:46,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:11:01,150,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:13:07,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:15:12,150,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:16:40,150,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:19:25,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:21:29,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:22:40,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:24:40,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:26:40,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:29:51,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:30:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:32:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:34:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:36:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:38:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:40:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:42:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:44:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:46:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:48:40,150,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:50:46,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:52:51,150,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:54:57,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:56:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,04:58:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:00:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:02:40,151,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:05:34,150,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:06:40,150,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:08:40,150,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:10:40,150,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:12:40,150,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:14:40,150,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:16:40,150,Smoke,smoke,22.12,40,0,No Rain,3.1
